,Device 1
40751101,1425.0
40751102,1427.0
40751103,1442.0
40751104,1449.0
40751105,1449.0
40751106,1417.0
40751107,1405.0
40751108,1418.0
40751109,1458.0
40751111,1424.0
40751112,1459.0
40751113,1463.0
40751114,1440.0
40751115,1471.0
40751116,1474.0
40751117,1435.0
40751118,1460.0
40751119,1465.0
40751120,1475.0
40751121,1430.0
40751122,1471.0
40751123,1475.0
40751124,1482.0
40751125,1462.0
40751126,1482.0
40751127,1486.0
40751128,1462.0
40751129,1452.0
40751130,1493.0
40751131,1496.0
40751132,1461.0
40751133,1484.0
40751134,1495.0
40751135,1507.0
40751136,1460.0
40751137,1498.0
40751138,1507.0
40751139,1487.0
40751140,1499.0
40751141,1508.0
40751142,1508.0
40751143,1460.0
40751144,1510.0
40751145,1510.0
40751146,1471.0
40751147,1507.0
40751148,1519.0
40751149,1506.0
40751150,1495.0
40751151,1508.0
40751152,1518.0
40751153,1484.0
40751154,1510.0
40751155,1521.0
40751156,1528.0
40751157,1484.0
40751158,1530.0
40751159,1531.0
40751160,1508.0
40751161,1500.0
40751162,1510.0
40751163,1545.0
40751164,1510.0
40751165,1517.0
40751166,1552.0
40751167,1554.0
40751168,1564.0
40751169,1541.0
40751170,1519.0
40751171,1522.0
40751172,1555.0
40751173,1555.0
40751174,1568.0
40751175,1564.0
40751176,1532.0
40751177,1518.0
40751178,1564.0
40751179,1563.0
40751180,1564.0
40751181,1567.0
40751182,1564.0
40751183,1555.0
40751184,1541.0
40751185,1563.0
40751186,1564.0
40751187,1568.0
40751188,1555.0
40751189,1528.0
40751190,1510.0
40751191,1521.0
40751192,1556.0
40751193,1566.0
40751194,1574.0
40751195,1568.0
40751196,1542.0
40751197,1528.0
40751198,1522.0
40751199,1563.0
40751200,1564.0
40751201,1564.0
40751202,1576.0
40751203,1575.0
40751204,1577.0
40751205,1533.0
40751206,1531.0
40751207,1568.0
40751208,1574.0
40751209,1577.0
40751210,1579.0
40751212,1564.0
40751213,1579.0
40751214,1539.0
40751215,1576.0
40751216,1586.0
40751217,1590.0
40751218,1547.0
40751219,1585.0
40751220,1586.0
40751221,1579.0
40751222,1555.0
40751223,1578.0
40751224,1579.0
40751225,1533.0
40751226,1564.0
40751227,1568.0
40751228,1577.0
40751229,1520.0
40751230,1552.0
40751231,1554.0
40751232,1552.0
40751233,1498.0
40751234,1540.0
40751235,1546.0
40751236,1518.0
40751237,1533.0
40751238,1539.0
40751239,1544.0
40751240,1496.0
40751241,1534.0
40751242,1544.0
40751243,1532.0
40751244,1540.0
40751245,1545.0
40751246,1555.0
40751247,1507.0
40751248,1555.0
40751249,1575.0
40751250,1530.0
40751251,1567.0
40751252,1576.0
40751253,1577.0
40751254,1574.0
40751255,1576.0
40751256,1590.0
40751257,1564.0
40751258,1540.0
40751259,1578.0
40751260,1589.0
40751261,1588.0
40751262,1544.0
40751263,1579.0
40751264,1576.0
40751265,1544.0
40751266,1574.0
40751267,1530.0
40751268,1544.0
40751269,1564.0
40751270,1564.0
40751271,1555.0
40751272,1555.0
40751273,1555.0
40751274,1540.0
40751275,1510.0
40751276,1507.0
40751277,1530.0
40751278,1533.0
40751279,1530.0
40751280,1533.0
40751281,1539.0
40751282,1540.0
40751283,1516.0
40751284,1488.0
40751285,1475.0
40751286,1510.0
40751287,1510.0
40751288,1517.0
40751289,1482.0
40751290,1484.0
40751291,1507.0
40751292,1510.0
40751293,1471.0
40751294,1471.0
40751295,1500.0
40751296,1501.0
40751297,1499.0
40751298,1508.0
40751299,1507.0
40751300,1462.0
40751301,1453.0
40751302,1465.0
40751303,1498.0
40751304,1507.0
40751305,1506.0
40751306,1508.0
40751307,1499.0
40751308,1465.0
40751309,1510.0
40751310,1519.0
40751311,1521.0
40751313,1510.0
40751314,1486.0
40751315,1530.0
40751316,1494.0
40751317,1530.0
40751318,1535.0
40751319,1532.0
40751320,1506.0
40751321,1540.0
40751322,1544.0
40751323,1533.0
40751324,1494.0
40751325,1535.0
40751326,1542.0
40751327,1507.0
40751328,1540.0
40751329,1550.0
40751330,1541.0
40751331,1498.0
40751332,1540.0
40751333,1544.0
40751334,1539.0
40751335,1510.0
40751336,1552.0
40751337,1555.0
40751338,1540.0
40751339,1542.0
40751340,1552.0
40751341,1521.0
40751342,1550.0
40751343,1562.0
40751344,1564.0
40751345,1530.0
40751346,1563.0
40751347,1576.0
40751348,1541.0
40751349,1563.0
40751350,1568.0
40751351,1575.0
40751352,1568.0
40751353,1567.0
40751354,1578.0
40751355,1540.0
40751356,1574.0
40751357,1576.0
40751358,1578.0
